V1,V2,V3,V4,V5,V6,V7,V8
6879.3125,6815.0396,6826.665,6829.1543,6869.002,6816.281,6828.5366,6876.596
7115.33544921875,7082.698,7080.9346,7059.7188,7102.233,7080.853,7096.373,7120.5806
7232.7958984375,7181.8115,7167.8096,7152.0483,7189.0195,7168.9355,7173.36,7205.619
7726.25927734375,7708.243,7704.6895,7685.0034,7710.9214,7705.868,7711.34,7741.432
990.3915405273438,880.0136,1168.8691,1369.4208,999.5211,921.12573,1174.3154,1396.266
9828.21875,9824.264,9899.026,9941.96,9981.05,9957.706,10035.854,10067.109
3339.678955078125,3337.6436,3320.3342,3350.8816,3351.8394,3350.7979,3338.1196,3366.336
2608.66455078125,2590.0837,2618.5444,2644.479,2645.6902,2621.0469,2651.0698,2677.929
2487.331787109375,2481.7915,2484.057,2504.4565,2503.9778,2494.2842,2500.5005,2518.24
2546.11181640625,2532.8564,2558.8472,2556.8552,2544.4224,2533.6758,2558.1003,2556.1
1155.025634765625,1152.2012,1153.5758,1152.5739,1153.7627,1152.0767,1152.5164,1154.0342
3246.805908203125,2993.3733,3291.6782,3403.7698,3281.1575,3036.7532,3321.9023,3438.7854
1753.95751953125,1759.2898,1774.6002,1773.7587,1790.8077,1789.6699,1803.3198,1802.803
12426.9873046875,12479.385,12567.675,12555.317,12806.329,12765.044,12898.676,12941.609
1246.2962646484375,1225.6348,1286.0078,1303.5927,1249.0795,1235.1498,1288.8019,1303.7874
2036.8538818359375,2023.1792,2078.195,2090.1846,2098.281,2071.844,2133.7876,2118.1338
2448.75927734375,2472.6492,2437.9612,2490.2888,2488.5703,2505.6284,2481.5933,2528.2046
4696.58203125,4541.5156,4842.407,4785.373,4683.008,4558.6675,4828.5054,4759.6104
5773.06591796875,5811.323,5869.292,5892.296,5956.4727,5962.466,6035.781,6061.581
6305.02490234375,6326.306,6323.214,6402.6084,6413.608,6421.0557,6439.6333,6508.98
9758.806640625,9778.924,9832.357,9931.82,9942.91,9942.83,10019.032,10111.787
5071.0888671875,5086.8696,5138.2617,5204.97,5134.238,5148.2075,5204.919,5236.544
5998.5205078125,5914.7935,6075.937,6153.4785,6083.017,5999.042,6149.467,6226.779
2324.632568359375,2322.7317,2332.9766,2326.5774,2324.557,2324.0933,2336.1863,2325.4502
1365.3665771484375,1365.3429,1371.7091,1367.7399,1364.5862,1367.7078,1371.695,1368.0708
7659.404296875,7062.9404,7509.2334,9205.701,7601.9297,7114.5415,7496.6504,9229.596
9144.681640625,9135.659,9158.641,9151.296,9144.258,9135.314,9164.584,9156.994
4942.15673828125,4968.3364,4904.503,4854.871,4958.061,5005.321,4961.815,4900.7676
1894.4984130859375,1882.6201,1877.0502,1874.3866,1899.0525,1881.2931,1884.9536,1882.2032
3099.48583984375,3117.7097,3065.3914,3076.7085,3096.2666,3119.2651,3064.5022,3078.6697
2469.63818359375,2488.1274,2476.344,2475.2712,2468.387,2485.1235,2473.2102,2474.0425
4756.34228515625,4673.8994,4677.9834,4648.9204,4777.4297,4678.016,4702.08,4683.2524
8260.6279296875,8306.243,8282.94,8276.891,8321.095,8356.915,8343.567,8358.82
7083.1650390625,7135.2363,7121.831,7121.2896,7082.503,7135.427,7123.0435,7133.2275
10120.3212890625,10204.268,10176.642,10049.045,10124.996,10224.642,10184.533,10082.019
9003.6533203125,8992.174,8997.151,8982.692,9026.473,9050.4795,9065.385,9067.799
4369.24658203125,4366.8857,4334.7607,4306.924,4343.966,4341.4995,4351.991,4330.9478
6364.6953125,6328.267,6344.0405,6370.903,6370.6006,6361.167,6382.975,6403.967
5387.3271484375,5544.144,6121.499,5993.521,5413.2373,5614.526,6163.021,6001.4185
5232.0234375,5264.194,5251.7915,5259.1255,5282.3145,5305.153,5297.152,5308.202
1904.2027587890625,1903.2969,1906.2991,1906.3806,1913.9896,1910.695,1917.0349,1919.6295
2110.118408203125,2109.2317,2111.962,2112.8132,2130.6904,2123.9143,2133.9165,2138.78
5426.53857421875,5477.0596,5437.848,5466.6636,5478.766,5514.538,5481.743,5518.8574
1283.1851806640625,1292.6553,1277.1418,1275.473,1291.9713,1300.3911,1285.6427,1286.0577
1920.249755859375,1915.3757,1919.4698,1917.6052,1927.4832,1921.1661,1928.1954,1928.9126
3362.224853515625,3349.771,3357.7805,3345.249,3363.356,3347.9507,3362.407,3353.5508
