V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36438.69921875,36544.203,36593.695,36558.15,36467.293,36519.17,36341.785,36176.457,36606.477,36539.324,36431.44,36370.074,36561.35
3613.7587890625,3623.6968,3622.656,3619.203,3610.6921,3621.5125,3602.4756,3572.037,3626.776,3622.5068,3613.4263,3603.9963,3614.0596
9647.4833984375,9722.082,9750.39,9667.747,9646.651,9716.739,9708.125,9590.94,9631.88,9672.051,9666.787,9633.656,9610.685
2280.383544921875,2188.9011,2182.4521,2281.415,2229.2622,2239.4766,2222.775,2282.829,2271.6438,2206.1118,2195.626,2172.652,2318.289
1488.780029296875,1439.962,1419.8982,1482.512,1503.9917,1632.3386,1562.1821,1336.3896,1410.4641,1535.737,1569.7234,1444.296,1544.8363
500.27337646484375,506.23447,532.03595,484.8808,476.5977,510.2027,513.12115,491.05615,540.16766,549.46356,544.093,469.3573,519.30554
3233.962646484375,3205.0781,3363.3777,3208.9175,3178.1836,3291.495,3202.2668,3123.4377,2978.996,3251.7832,3314.7097,3206.983,3258.7979
3105.465576171875,2947.6084,2860.4707,2892.0347,2911.8728,3016.705,2611.2495,2527.2551,2679.4468,3043.1716,2772.5308,2594.0525,2763.748
7414.77734375,7090.508,7020.742,7068.7246,7104.5347,6997.8633,6679.9873,6831.098,6816.601,6966.178,6774.3657,6580.4565,6841.5347
5236.8134765625,5178.3647,5165.9395,5269.043,5209.6426,5247.996,5207.068,5149.388,5165.884,5199.6416,5114.902,5139.5176,5196.711
314.83245849609375,314.59607,323.05325,307.87057,314.7021,326.88977,329.37427,318.2318,335.79544,335.44067,321.8838,315.92816,335.5368
1049.65869140625,1040.6641,1034.5048,1057.447,1061.6807,1056.5055,1039.9874,1036.1794,1048.8488,1052.0885,1046.6222,1046.2206,1055.5573
2385.06591796875,2342.688,2360.8489,2387.4463,2354.4368,2341.9446,2323.2266,2332.0767,2326.044,2307.4375,2309.5857,2310.1133,2320.4937
2382.99462890625,2352.7566,2379.8809,2382.663,2354.11,2356.4175,2344.5454,2339.8806,2327.3735,2330.4348,2335.3872,2327.5671,2320.6716
4816.08984375,4507.84,4688.5664,4853.717,4644.8853,4546.383,4468.022,4514.6772,4480.8555,4378.2344,4387.462,4430.462,4444.9766
4816.08984375,4507.84,4688.5664,4853.717,4644.8853,4546.383,4468.022,4514.6772,4480.8555,4378.2344,4387.462,4430.462,4444.9766
