V1,V2,V3,V4,V5,V6
7253.13330078125,7266.184,7285.831,7284.466,7334.484,7328.724
1669.123046875,1663.1199,1686.7836,1708.7363,1765.2905,1788.112
8568.982421875,8772.198,9005.389,9215.677,9412.414,9685.656
9904.8076171875,10143.014,10414.067,10667.984,10901.008,11210.47
7150.171875,7456.2876,7800.857,8075.983,8345.494,8741.701
4230.703125,4346.8936,4473.0205,4641.8916,4839.9062,5003.871
3736.70703125,3748.1616,3806.6782,3928.7266,4086.2136,4149.8823
2404.15869140625,2400.101,2399.9446,2399.5552,2403.8894,2403.0103
2331.533203125,2354.577,2377.156,2403.9692,2434.2766,2463.668
2316.74951171875,2307.5923,2311.3792,2325.6238,2348.8035,2354.8206
1499.637451171875,1506.9991,1517.255,1531.8575,1548.8419,1560.1763
2035.9998779296875,2092.6326,2151.7227,2203.9543,2259.4014,2331.014
4737.9853515625,4792.025,4912.142,4982.4795,5065.1216,5143.4653
5121.16650390625,5183.3037,5278.7974,5348.913,5406.118,5486.869
5453.37451171875,5553.829,5706.6016,5835.6367,5929.195,6084.627
2617.337890625,2633.4072,2660.9197,2673.466,2706.7444,2720.0745
3874.0166015625,3930.7488,4003.8638,4069.891,4114.704,4184.6426
3218.666015625,3237.8208,3268.8154,3289.5117,3319.9307,3340.3657
3258.163330078125,3396.0527,3605.3567,3832.5554,4139.128,4386.457
6648.95556640625,6752.9473,6905.9956,7064.4424,7265.33,7435.055
9843.6630859375,10099.344,10475.796,10928.827,11471.434,11877.365
4454.66796875,4430.896,4512.2476,4652.954,4868.133,4946.1
9607.375,9515.552,9583.037,9627.3955,9829.234,9893.519
8764.322265625,8638.005,8690.77,8818.139,9074.721,9144.037
2436.514404296875,2447.4297,2506.1602,2580.4937,2691.113,2738.7668
7502.22998046875,7450.4014,7576.6675,7813.165,8147.6772,8274.32
1793.4580078125,1785.0991,1813.0801,1865.5349,1942.5447,1967.7815
1750.168212890625,1739.3462,1762.5994,1807.511,1871.2017,1896.616
4203.13427734375,4195.19,4213.6455,4264.481,4331.0337,4350.6484
4585.59912109375,4707.5513,4830.751,4941.913,5058.618,5204.3926
3727.5087890625,3698.9678,3702.1604,3697.0847,3722.2732,3720.8914
5490.3388671875,5530.964,5581.012,5658.9355,5750.2134,5816.9487
1287.0015869140625,1308.4636,1329.9453,1348.231,1370.9741,1393.851
1714.1904296875,1732.958,1750.9886,1771.8134,1799.2056,1820.637
3464.541748046875,3515.0676,3567.756,3637.7424,3718.3574,3784.3313
1170.878173828125,1173.9326,1180.4835,1193.2805,1208.2423,1216.5262
4052.42529296875,4084.2075,4135.8877,4216.8945,4311.5576,4371.971
2070.41650390625,2078.038,2271.7837,1951.227,2254.1128,2012.0508
